T,TM,Tm,H,PP,VV,V,VM,PM 2.5
6.6,11.6,3.7,80,7.37,10,15.7,40.7,0.0
5,7.4,2,84,2.54,9.8,8.9,22.2,26.0
7.6,13.3,5,82,0,11.7,14.1,40.7,28.0
6.5,10.3,2.9,83,0,6.4,10.6,25.9,50.0
4.8,8,1.9,93,0,5.1,4.1,13,67.0
5.9,10,0,86,3.3,7.9,7.4,20.6,68.0
2.2,8.8,-4.1,83,0,4.7,8.1,16.5,57.0
3.2,7,-0.9,76,0,8.9,15.4,20.6,65.0
5.4,10.6,-0.6,75,0,8.7,18,33.5,92.0
5.4,9,2,82,3.56,10.1,7.2,16.5,56.0
3.2,5.2,0.8,91,1.27,10,9.8,25.9,48.0
6.2,8,2.8,90,18.03,8.7,9.3,22.2,29.0
9.4,12,5.8,74,0,10.3,13.1,24.1,63.0
3.4,11,0,88,0.25,6.8,6.7,29.4,47.0
2.3,6.4,0,90,0,8.5,5,9.4,34.0
6.7,11.1,3.9,74,0,10.1,11.1,40.7,69.0
4.6,8,2,83,6.1,10.8,15.7,31.7,52.0
2.3,5.2,-1,79,2.03,12.1,13.1,25.9,32.0
1,4,-4,82,0.51,10.8,12.8,22.2,45.0
-0.6,4,-1.2,81,0,10.5,8.9,16.5,88.0
-0.2,1,-1.3,90,0,5.1,7.8,13,45.0
1.4,5.2,0,83,0,6.1,5,16.5,59.0
-0.8,4,-7.9,69,0.25,11.1,9.4,31.7,27.0
1.4,6,-1,84,3.56,9.8,7.6,16.5,40.0
4.1,8,-1.2,91,2.29,8.4,13,27.8,53.0
1.7,6.4,-2,78,0,9.7,5,13,24.0
2.5,7,-1.9,71,0,10.6,14.4,31.7,58.0
0.2,2.9,-2.4,73,0,9.3,18.7,29.4,70.0
-0.8,1,-4.5,68,0,8.9,12.8,20.6,120.0
-5,-1,-9,52,0,11.1,12.6,20.6,105.0
-7.6,-3.6,-11,56,0,10.3,9.1,18.3,65.0
2.2,7.2,-2.5,85,0,8.2,9.3,16.5,105.0
3.3,9,-0.4,84,0.25,6.8,13.1,22.2,90.0
3.8,10,-0.5,84,13.46,11.7,16.5,24.1,109.0
5.5,11.7,-0.1,72,4.32,14.6,8.9,31.7,57.0
6.4,14.1,-1.6,68,1.02,9.8,14.4,31.7,21.0
9.9,15.3,2.6,64,0,15.9,14.1,33.5,25.0
6.6,11.7,1,70,1.52,12.2,6.3,13,11.0
7.2,15.5,-2,65,0.25,17.5,10,22.2,14.0
8.4,14.5,2,72,0,12.9,13.9,44.6,35.0
3.4,9,0,74,0,10.5,9.6,16.5,41.0
1.4,5.2,-0.4,74,0,7.7,22.8,37,35.0
1.2,5,-1.2,63,0,10.6,21.7,33.5,66.0
7.3,13.3,3,73,0,10.3,5,14.8,50.0
6.9,12,0,75,0.25,10.5,12.4,27.8,35.0
6.9,11,2.5,77,0,7.1,6.7,14.8,60.0
6.4,13,0.9,73,0,16.9,10.4,24.1,36.0
6.1,12,1.8,71,4.32,11.4,6.5,14.8,23.0
11.6,18,4.8,57,0,19,12.6,29.4,23.0
12.9,18.3,6,63,0,37.2,7.6,22.2,44.0
11.6,15.5,6.8,76,0,10.5,6.9,14.8,50.0
10.8,17.2,6,70,0,12.6,8.7,20.6,13.0
12.2,17.4,8,73,0,13,3.5,13,10.0
12.9,17.6,6,74,0.25,12.1,5.7,16.5,24.0
17.4,26.1,9.3,61,0,11.9,8.7,29.4,50.0
14,18.8,9,59,0,10.9,13.5,25.9,55.0
14.4,24.7,2,59,0,29.9,11.3,33.5,26.0
9.1,12,7,82,2.54,10.9,9.3,20.6,13.0
11.2,14.3,8,69,1.02,9.8,10.9,20.6,21.0
11.5,13.5,9,75,0,12.1,17.4,25.9,40.0
17.9,26.4,9,72,0,9.2,10,29.4,62.0
16.1,23.3,10.5,74,0,23.7,10.9,20.6,60.0
15.6,22,4,82,1.52,11.1,10,18.3,34.0
7.2,18.5,5.9,91,3.05,10.5,12.6,22.2,39.0
8.2,10.3,5.6,91,16,8.2,6.5,16.5,16.0
11.6,15,4,91,11.43,8,7.8,18.3,11.0
15.4,22,7.3,67,0,9.5,8.3,18.3,41.0
14.2,23.1,5,75,0,9.7,9.1,25.9,50.0
16.7,23.6,5,69,0,31.9,9.4,18.3,43.0
19.9,27,13,66,0,15.6,11.3,31.7,47.0
14.6,22,4,87,9.65,17.7,8.9,25.9,31.0
17.9,24,11.7,72,0,11.1,9.4,14.8,36.0
19.1,25.1,11.4,71,0,20,7,13,31.0
18.4,25.4,15,79,0,13.2,8.7,20.6,31.0
15.7,24.5,6,93,0.76,13,7.8,25.9,44.0
18.2,25,13.8,83,10.92,9.7,6.1,14.8,23.0
21.2,27.2,14,70,6.86,8.5,5.7,13,26.0
13.5,16.4,4,86,24.13,9.8,20.9,33.5,23.0
16,20.6,11.4,69,0,11.4,16.9,29.4,24.0
18.1,23,11.9,68,0,10.9,10.9,20.6,35.0
20.3,26.3,12,69,0,13.5,9.3,18.3,25.0
20.3,29,15.8,75,0,16.1,11.9,25.9,45.0
18.5,25,10,61,0,14.2,10.7,24.1,40.0
20.2,28,11,62,0,13.8,10.2,18.3,36.0
23.5,29.5,17,64,0,26.7,7.8,22.2,54.0
20.9,28,12.8,63,0.25,10.8,10.9,22.2,24.0
20.1,28,12.2,63,0,11.4,9.3,20.6,39.0
21.9,28.2,12.6,53,0,14.3,10.6,22.2,41.0
21.2,29.5,15,66,0,27.4,8.9,20.6,41.0
18.8,31,7,70,0,15.1,11.7,35.2,38.0
19.9,25,15.6,71,0,13.8,9.6,18.3,48.0
24.8,32,15.9,51,0,12.7,11.7,18.3,52.0
