T,TM,Tm,H,PP,VV,V,VM,PM 2.5
-0.3,7.7,-5,89,0,6,10.4,18.3,120.0
-0.4,2.1,-3.5,87,0,9.3,11.3,20.6,124.0
-1.2,0,-2,93,0,8,13.9,22.2,100.0
-5.3,-1,-8.6,78,0,9.8,7.4,29.4,42.0
-0.8,0,-5.6,79,0,9.3,10.2,18.3,94.0
-1.5,1,-5.5,88,0.25,9.5,7.2,22.2,115.0
2.4,10.5,-0.1,81,2.79,11.6,13.7,29.4,93.0
-1.4,1,-8,93,2.03,7.1,10,27.8,23.0
-1.9,1,-8.2,86,3.3,10,9.8,25.9,26.0
-7.4,0,-12.4,83,0,6.3,6.5,13,85.0
-5.2,1,-12.5,83,0,6.9,12.8,24.1,103.0
-2.9,3.5,-8.3,80,0,6.8,11.5,22.2,119.0
-4.7,-2.8,-8,86,0,5.3,9.1,18.3,150.0
-2.6,1.3,-8.8,82,0,5.1,13.1,25.9,152.0
2.8,9.3,-2.1,73,0,7.4,16.5,22.2,152.0
6.6,10.5,4.7,94,4.83,6.3,9.6,13,127.0
8.7,13.3,4.3,88,0,7.2,13,25.9,119.0
10.2,15,1.4,73,0,9.8,10,24.1,92.0
5.9,14,0.8,88,12.19,12.6,10.6,29.4,45.0
4.2,6,-0.2,93,0,7.1,5.6,13,26.0
4.8,6,3.5,91,2.29,9.3,20.6,33.5,46.0
3.6,5,1,91,2.79,6.8,10.9,22.2,37.0
8.4,15,3.6,71,0.25,9.2,13.9,25.9,74.0
8.6,15.1,2,71,0,11.3,10.9,18.3,101.0
5,15,-2.4,72,0,7.6,8.9,18.3,59.0
5.8,12,-2.1,73,0,11.4,6.5,18.3,62.0
8.8,13.4,3.6,84,0,9.7,4.6,16.5,59.0
3.2,9,-2,78,0,11.9,10.4,29.4,36.0
8.3,15,0.2,69,0,10.1,14.1,35.2,60.0
5.8,9.3,-0.4,68,4.83,11.9,10,18.3,17.0
6.7,11.4,0,82,1.27,12.1,8.7,22.2,18.0
8.3,14.4,0,71,0.51,7.7,15.2,27.8,52.0
3.8,8.1,-1.2,80,9.91,11.3,12,29.4,27.0
4.3,10.4,-3,77,0.25,10.1,13.1,25.9,21.0
10,12.3,7,76,0,11.1,11.1,24.1,47.0
10.2,16.1,3,69,0,9.2,11.1,25.9,54.0
9.3,15,0.8,62,0,9.5,8.1,20.6,67.0
8.6,16,1.6,69,0,6.1,7.8,16.5,67.0
11.8,17,8.6,72,0,10.6,9.4,20.6,62.0
11.2,15.5,6,72,0,14.3,7.8,18.3,45.0
11.1,15.2,5.6,66,0,11.7,7.2,35.2,28.0
7.8,14.6,2.8,85,0,5.6,9.4,35.2,38.0
9.4,16,4.5,63,1.52,22.5,9.4,18.3,42.0
9.9,17,1.3,68,0,14.5,11.1,25.9,21.0
8.3,15.5,6.9,80,0,12.2,7,22.2,46.0
8.9,11.1,6.6,86,8.13,9.5,9.1,24.1,33.0
10.1,18,0.8,79,1.52,9.7,7,16.5,48.0
11.2,19.4,3,65,0,27.5,8.1,18.3,48.0
11.9,16.5,6.8,64,0,11.1,12.2,24.1,33.0
5.4,11.3,-0.6,50,0,14.5,18.5,42.4,24.0
4.8,12,-3,53,0,14.3,11.9,25.9,19.0
11.3,16.7,3,75,0,10.5,12.4,24.1,38.0
5.8,14.2,4,88,13.72,9.3,6.9,14.8,53.0
4.7,8,2.8,79,1.52,9.8,13.5,25.9,16.0
7.3,13.5,1,77,14.22,11.9,9.8,20.6,35.0
8.1,13.6,3,82,3.3,12.7,9.6,27.8,12.0
9.9,16.1,7,77,4.06,12.6,6.7,22.2,23.0
11.2,13.6,1,81,0,9.3,7,14.8,39.0
10.4,15,7.6,78,3.05,9.5,15,31.7,25.0
10.5,16.5,5,70,0,10.6,11.7,27.8,29.0
15,21.3,9,75,5.08,20.6,10.6,22.2,26.0
15.1,22,7.5,68,0,7.1,6.9,11.1,34.0
11.2,20.7,4,72,12.45,12.6,10.4,22.2,42.0
12.1,18,5.9,63,2.03,13.4,8.3,22.2,19.0
18.7,26.5,9.7,64,0,15,7.6,16.5,45.0
20.2,26,15.6,66,0,16.7,8.1,22.2,45.0
17.9,27.3,6,70,0,13.4,11.1,38.9,47.0
20.2,27,12.6,66,1.02,12.7,10,16.5,49.0
16,27,3,92,0,9.8,11.9,35.2,32.0
13.2,18.4,6,58,0,13.4,9.4,18.3,36.0
22.2,31,17,75,0.76,14.8,7.2,37,60.0
23.4,31,16,64,0,21.7,9.1,16.5,54.0
25.7,34.2,16.8,54,0,16.7,5.4,16.5,56.0
21.9,27.5,16,54,1.02,10.6,8.3,16.5,61.0
19.6,27,11.8,67,0,19.6,5.9,16.5,42.0
23.1,30,15.8,59,0,17.1,17.8,31.7,42.0
15.1,18.5,11.7,73,3.56,12.1,8.1,18.3,18.0
16.4,21.9,12.7,74,3.05,9,13.9,24.1,15.0
18.8,24.5,13,62,0,15.6,10,18.3,19.0
22.6,30.7,18,63,0.25,23.3,8.1,18.3,57.0
21.6,27.6,16.5,57,0,12.6,11.3,18.3,38.0
21.1,26.5,15.8,53,0,15.6,13,25.9,24.0
19.7,25.5,10.6,50,0,18,15.2,27.8,25.0
21.2,29.7,7,60,1.52,21.4,9.6,24.1,49.0
19,25,3,76,0,20.4,7,18.3,38.0
14.6,20.1,6,86,2.29,16.3,7.4,14.8,26.0
17.7,24,11.2,64,4.06,10,9.3,18.3,20.0
20.8,28.5,14,62,0,11.9,6.3,22.2,25.0
25.3,34.3,18,49,1.78,20,11.3,29.4,45.0
27.1,36.9,18,48,0,23.8,4.3,25.9,62.0
16.2,21.4,7,88,0,18.2,11.3,22.2,34.0
17.1,24,10.8,68,0,16.9,7,14.8,35.0
18.4,25.6,11.3,67,0,12.7,7.2,16.5,22.0
21.7,29,6,54,0,24.8,9.8,22.2,42.0
18.2,22,15,63,21.84,9.7,11.5,22.2,54.0
17,22.5,10.7,53,0,15.6,13.1,22.2,22.0
24.1,31.4,15.8,48,0.51,18.2,11.7,22.2,58.0
13.8,20.4,6,91,4.06,11.1,6.3,14.8,44.0
14.9,20,12,69,2.03,11.4,9.4,18.3,14.0
11.4,16.8,2,85,1.27,13.2,9.6,29.4,14.0
13.4,20,6.3,71,1.27,9.7,7.2,14.8,16.0
14.2,19.9,6.5,65,0,12.1,13.3,27.8,25.0
14.4,22.3,5,66,0,16.3,5.9,16.5,0.0
12.7,17,3,84,0,16.4,12,27.8,0.0
16.1,25,6.5,63,0,11.9,13.9,22.2,15.0
14.1,21.8,6,74,0,16.3,13.9,40.7,18.0
10.3,17.2,3.9,71,12.95,21.2,8.5,16.5,25.0
7.2,13.4,0,97,0,11.1,6.9,16.5,14.0
11.4,17.1,6,75,1.52,10.5,8.7,18.3,18.0
12.2,22.3,2.5,69,0,11.3,8.3,18.3,22.0
14.2,22.5,7.8,75,0,19.2,5.9,18.3,42.0
15.4,22.2,8.8,75,0.51,9.3,5.7,13,38.0
16.9,24,8.8,65,0,9.7,7.2,16.5,37.0
12.6,18,8,81,9.14,11.7,6.1,11.1,46.0
15.6,21.1,10.7,79,0.51,11.6,6.9,16.5,15.0
15.4,18.4,12,80,0.51,11.7,9.6,18.3,26.0
8.4,15.4,1.3,72,0,15.9,5.6,13,19.0
11.1,16,3.6,77,0,10.9,7.6,18.3,21.0
12.3,18.4,8,74,0,11.6,7.2,20.6,30.0
13.2,23.6,5.7,72,0,9.2,9.4,16.5,50.0
15.1,23.5,8,72,0,6,10.7,22.2,53.0
15,21.4,7.8,68,0,10.8,11.1,24.1,56.0
14.9,23.3,5,76,0,12.7,13.3,35.2,59.0
11.4,17.4,7,80,0,11.3,19.4,31.7,48.0
3.8,11.1,-0.5,78,0,11.4,6.1,14.8,26.0
6.3,17,-1.8,74,0,8,10.4,18.3,42.0
9.4,19,3.4,76,0,10.9,10.2,18.3,64.0
4,5.3,3,84,0,10.3,10.2,22.2,23.0
4.6,7,3,82,0,9.8,5.4,13,46.0
4.2,6,2.9,84,0,10.3,12.4,24.1,45.0
3.9,6,0.9,83,8.38,11.6,31.7,42.4,48.0
3.6,7,0,81,0.51,11.4,19.1,37,7.0
0.6,4,-4,86,0,8,7.2,16.5,23.0
3.4,9,-2,84,0,10,6.1,16.5,81.0
2.7,7.1,-2,85,0,9.7,8,14.8,59.0
7.1,11.4,1,81,0.51,8.9,10,27.8,78.0
2.4,5.6,0,81,20.57,12.1,12.4,20.6,26.0
1.3,8,-3,77,0,15,6.3,14.8,11.0
-0.7,0.7,-1.4,91,5.08,5.6,7.6,24.1,33.0
-1.1,0.1,-2.5,84,3.3,10.3,17.6,25.9,27.0
-2.6,-0.2,-5,84,0,8.9,16.3,27.8,49.0
2.8,10.5,-3.5,83,0,8.4,13,18.3,98.0
4.4,7.2,0,84,8.64,9,7.2,27.8,100.0
-0.4,2.7,-5,81,2.29,10.5,10.2,16.5,35.0
0.8,7,-5.3,83,1.78,9.3,6.9,35.2,32.0
8.3,10.3,2.6,71,1.52,12.1,19.4,35.2,52.0
4.7,10.3,1.7,79,0,12.2,11.1,35.2,23.0
