T,TM,Tm,H,PP,VV,V,VM,PM 2.5
9,14,4.5,77,7.11,9.8,7.8,14.8,12.0
10.6,21,3.2,83,0,9.7,10,18.3,26.0
11.2,18,4.8,82,0,10.1,11.3,20.6,35.0
12.1,18.2,6.7,84,0,9.3,9.8,18.3,45.0
10.1,12.4,7.6,90,0,8.2,8.5,16.5,52.0
11.4,16,8,82,0,9.8,13.7,18.3,40.0
9.9,16.9,2,100,0,11.7,8.1,16.5,60.0
11.1,17,6.7,86,1.02,10.3,12,18.3,44.0
11.1,16,5.7,80,0,10.1,11.5,18.3,62.0
11.1,18,5.7,80,0,10,13.5,27.8,52.0
9.1,16.6,2,92,0,9.3,10.6,24.1,48.0
8,10.8,3.8,78,0,10.9,13.9,24.1,43.0
5.9,8.8,1,79,3.3,10.3,25.4,37,42.0
1.8,6.2,-3,87,0,9.8,9.3,22.2,16.0
4.3,11.1,1,81,0,9.8,15.6,22.2,77.0
4.7,11.3,-0.4,76,0,9.7,17.2,27.8,79.0
7.1,12.5,3.4,70,0,10,19.1,27.8,81.0
2.2,4.3,-0.4,92,0.25,7.9,12,25.9,61.0
2.2,3.3,0.9,89,1.02,10.3,16.1,27.8,55.0
4.2,7,1.5,76,0,9.8,8.3,16.5,45.0
2.8,5.4,0.7,92,0.76,10,7.4,14.8,68.0
3.1,6,-0.3,92,0,7.6,11.3,18.3,50.0
0.7,4.5,-4.4,88,1.02,9.2,10.9,22.2,37.0
4.7,8.5,0.6,85,8.64,11.3,6.9,14.8,53.0
6.1,12,0.6,78,0,10.6,12.8,20.6,49.0
8.9,12.4,6.3,84,0,9.8,7.4,18.3,47.0
7.8,15.2,2.3,90,0.51,10.1,10.6,18.3,64.0
7.3,9.3,5,96,0.25,7.7,7.6,14.8,57.0
7.2,10,3,95,10.92,6.1,8.1,18.3,68.0
2.3,6.8,0.8,87,2.29,10,30.2,44.6,33.0
0.6,3,-2,80,0.51,10.9,21.3,37,7.0
-0.2,7,-6.1,75,0,10.1,11.9,24.1,20.0
1.2,4,-4.6,92,2.29,9.3,10.4,18.3,35.0
