T,TM,Tm,H,PP,VV,V,VM,PM 2.5
-0.4,8,-5.3,92,0,4.7,5.4,16.5,0.0
1.3,9,-3.7,96,0,4.7,13.7,22.2,95.0
4.8,9.5,-0.1,89,0,9.3,10.2,16.5,80.0
4.5,8.6,0,89,0,10,8.7,22.2,71.0
4.3,11.5,-0.5,83,0,10.3,11.7,20.6,85.0
5.8,14,-0.6,68,0,11.1,15.6,24.1,93.0
1.8,8,-5,84,0,9.3,7.8,13,70.0
7.3,13,1.1,67,0,10.6,15.2,31.7,81.0
8.5,13,2,68,0,12.1,15.7,27.8,69.0
0.6,5,-3,83,0,10.1,10.9,22.2,54.0
-1.1,4,-5.7,84,0,10,5,13,57.0
0.4,5,-3.5,81,0,8.9,5.9,14.8,67.0
5.2,12,0.1,84,0,9,11.9,18.3,112.0
6.5,12.3,2.6,86,0,9.5,9.6,18.3,99.0
5.6,9,1,90,1.52,6.9,10.6,18.3,95.0
9.6,16.1,5.8,89,7.87,9.5,14.8,22.2,52.0
8.4,12.7,4.4,93,0.25,8,10.9,22.2,59.0
9.4,12,5.1,99,1.52,6.6,15.2,22.2,63.0
11.9,19,8,84,5.33,10.9,13.9,18.3,62.0
4.3,12.5,-1,72,0,10.3,17,24.1,50.0
5.6,13,0.6,74,0,10.3,16.5,35.2,64.0
7.5,12.3,-0.6,72,0,15.4,14.1,24.1,70.0
3.8,10,-3.5,82,0,10.1,15.7,35.2,29.0
6.9,11.3,0.8,81,2.29,9.8,9.6,22.2,57.0
6.6,15.5,-2.4,71,0,10,12.4,22.2,28.0
4,8,-1.3,86,0,10.5,10.4,16.5,26.0
5.7,15,-2.3,71,1.52,10.3,10.2,24.1,48.0
6.5,10.6,1,74,0.51,10.3,10.7,24.1,53.0
6.7,12.6,0,81,0,10.9,12,22.2,55.0
4.4,10.5,-1,69,1.02,10.5,17.8,40.7,50.0
3.7,8.4,-1.5,82,0.25,10.5,16.1,38.9,21.0
8.8,13.8,3,77,3.81,11.3,18.1,37,999.0
6.6,9.5,3.3,86,1.52,11.1,12,33.5,0.0
5.2,9.3,1.5,70,28.7,10.3,9.4,27.8,12.0
5.6,9,1,73,0,11.6,19.8,27.8,13.0
5.8,13.7,-2.6,65,0,10,7.6,31.7,27.0
5.9,10.4,1,83,2.29,11.3,11.1,31.7,37.0
8.6,11.3,5,66,0,14.8,11.7,22.2,44.0
8,16,-1.5,72,0,10.8,18.3,37,30.0
12.6,21,3.9,57,0,10,11.3,18.3,51.0
12.1,19.1,2.8,57,0,10.3,8.9,16.5,49.0
11,19,2.6,71,0,9.5,6.5,14.8,49.0
4.5,10.4,-2.6,69,0,10.1,10.6,22.2,48.0
5.1,11,-0.2,68,3.3,8.9,11.7,22.2,55.0
5.4,11,-1,61,0,10.3,12.8,29.4,0.0
6.2,15.9,-4.4,63,0,10.1,7.8,14.8,0.0
7,14.7,-2,69,0,10.3,7.2,11.1,48.0
7.4,13,0.1,59,0,10.1,11.1,20.6,37.0
12.8,21.3,2.6,51,0,10,10.6,18.3,49.0
13.3,22.4,2.6,48,0,10.6,10.6,20.6,53.0
13.2,23,2,49,0,10.1,9.6,18.3,55.0
13.1,19.3,7,54,0,10.1,7,13,49.0
10.7,16.6,3,57,0,10.1,12.2,25.9,45.0
11.6,22,-1.6,52,0,10.9,10.2,24.1,41.0
13.5,19.4,9,88,0,9.3,6.5,13,40.0
15.8,20,12,83,0.51,7.6,4.4,13,51.0
14.8,18.4,11,77,0,8.4,7,13,53.0
13.4,23.2,4,81,0,10.6,8.7,29.4,43.0
13.7,21,8,84,0,9,7.4,14.8,43.0
15.1,20,9.9,79,5.08,11.6,13.1,22.2,32.0
12.3,17.2,1,94,0,9.7,7.8,13,20.0
14.9,21,10,79,12.45,9.7,6.9,14.8,21.0
16.5,24.4,6.4,64,0,10.1,8.9,22.2,27.0
18.6,24.3,10,53,0,10.1,13.7,29.4,32.0
16.4,23.1,8,57,0,10,11.9,31.7,39.0
11.5,14.5,8,85,4.06,8.5,8,14.8,30.0
18,24.2,10.7,60,0,11.6,16.7,33.5,40.0
18.5,26,8.8,59,0,11.7,11.7,25.9,34.0
19.4,26.1,9,61,0,11.1,7.6,14.8,32.0
15.3,22.3,6.2,66,0,10.6,10.6,22.2,16.0
16.4,23.2,7.5,64,0,10.3,11.1,20.6,26.0
16.5,24,7.1,61,0,10.5,6.5,13,37.0
17.5,25.6,8,60,0,10.1,6.9,11.1,37.0
16.8,26,5,69,0,11.3,12,27.8,31.0
18,26.4,4,71,7.11,10,8.7,18.3,37.0
16.1,24.7,6,83,0.25,9.8,10,24.1,37.0
13.1,18,1,82,15.24,9.7,7,14.8,24.0
12.1,18,1,82,1.52,11.4,10.6,24.1,27.0
16.8,22,12,70,0,10,10.9,20.6,27.0
17.3,22.7,10.8,67,0,10.8,14.4,25.9,17.0
16.6,22.5,11,70,0.51,10.6,8.3,18.3,24.0
17.6,24,8.9,63,0,10.3,9.4,22.2,17.0
18.8,25,9,60,0,10.9,12.6,24.1,22.0
23.8,30.4,14,53,0,12.1,11.1,18.3,51.0
18.9,28.7,6,69,0,13.4,9.4,20.6,48.0
20.2,31,5,77,0,12.1,10.4,33.5,7.0
18.9,22.6,15.4,55,0,11.6,17.4,27.8,35.0
18.4,25.1,9,48,0,11.1,12,22.2,21.0
19.8,28.5,8.8,48,0,11.6,7.8,14.8,30.0
24.1,34,10.9,45,0,11.6,8,18.3,33.0
20.2,28,10.5,49,0,10.6,9.1,16.5,32.0
19.7,27.2,9.8,47,0,10.5,9.3,20.6,36.0
17.8,25.3,11.9,65,0,10.8,8.5,18.3,37.0
20.6,29.5,9.8,50,0,10.5,7.8,13,25.0
23.9,33.4,10.8,45,0,10.3,11.3,24.1,35.0
22.3,30.6,12,47,0,11.7,9.1,14.8,38.0
23.8,31,16,47,0,12.4,8,18.3,34.0
25.1,35.3,13.2,49,0,11.6,14.4,31.7,35.0
28.2,37.3,18,41,0,11.4,12,18.3,52.0
21.6,26.8,16,70,0,13.4,10.2,24.1,60.0
17.9,23,7,72,0,13.4,13,29.4,46.0
24.9,35.5,13.5,44,0,11.1,9.4,14.8,39.0
25.6,36,13.8,40,0,10.9,7.4,14.8,45.0
25.8,36.3,15.5,43,0,10.9,10,22.2,50.0
23.6,32.2,17.7,57,0,10.6,11.7,29.4,55.0
22.2,29,15.4,65,2.29,10.8,10.2,16.5,55.0
22.7,31.6,12.9,50,0,11.4,7.8,13,41.0
23.5,32.4,12.9,50,0,15.9,13.5,27.8,34.0
25.8,33.3,17.8,54,0,11.9,15.2,31.7,34.0
26.3,34,17,47,0,11.9,14.8,29.4,46.0
23,32.4,10,33,0.51,13.8,13.9,27.8,26.0
22.7,30.3,14.9,47,0,11.7,9.8,20.6,0.0
21,30.1,11.3,47,0,11.7,5.9,14.8,0.0
14.9,21.2,7.5,72,1.52,11.9,12.2,25.9,0.0
16.1,22.6,9,66,0,11.6,9.3,24.1,0.0
16.8,23.6,8.4,61,0,11.6,9.6,18.3,0.0
17.3,25.5,8,59,0,11.4,7.8,18.3,0.0
15.8,22.4,8.5,59,0,11.6,10.9,20.6,0.0
16.6,25.4,7,65,0,10.9,7.2,14.8,0.0
18.4,25.9,11,70,0,10.5,7.4,16.5,30.0
21.1,31.2,11.9,60,0,11.7,6.9,13,38.0
23.9,32.2,16.4,55,0,10.3,11.7,18.3,40.0
23.8,31.6,15.8,51,0,10.6,9.4,14.8,51.0
19.7,29,9,73,0.51,10.8,8.5,29.4,50.0
17.2,25.2,7,87,0.25,11.7,9.1,20.6,50.0
15.1,24.8,1,99,43.18,10,7.2,24.1,38.0
11.2,18.2,4,77,0,19.5,15,37,23.0
7.4,11.7,1,87,4.06,12.6,8.9,27.8,10.0
6.9,9,3.4,92,11.43,9.5,5.9,11.1,7.0
12.3,16.3,7.8,89,0,9.2,8.5,14.8,31.0
11.2,20.8,0,94,0.51,8,13.1,29.4,45.0
10.6,16,2,77,68.58,10,19.8,42.4,29.0
12.1,16.6,5.6,75,4.32,10.6,9.8,22.2,21.0
11.6,20.2,4.8,76,0,10.6,10.2,22.2,18.0
12.4,18.7,7.7,85,0,9.8,8.3,14.8,23.0
7.5,12.2,0.6,81,0,10.3,5.9,13,14.0
8.6,12.5,5,87,0,8.4,8.3,20.6,29.0
6.7,9.4,4.8,88,0,9.7,17.6,29.4,43.0
8.6,16,-1.2,79,0,8.5,12.4,24.1,42.0
13.3,18,8.1,64,0,11.1,13.3,29.4,46.0
15.6,20.5,11.9,56,0,11.7,18,29.4,25.0
12.1,18,3,81,0,11.1,13,25.9,21.0
7.4,14.8,3,90,24.38,8.9,10.6,38.9,21.0
